,algorithm,variant,warm_label,metric,count,mean,median,std,min,max
0,Algorytm genetyczny,pref_pref,ciepły start,time_s,930,1.1339646529978606,0.4899870765002561,1.1892477865819642,0.13032659600139596,4.340493381001579
1,Algorytm genetyczny,pref_pref,ciepły start,total_cost,930,102.35983382907911,58.99999999999997,104.67574243172808,11.999999999999995,438.5704074338813
2,Algorytm genetyczny,pref_pref,ciepły start,cost_per_node,930,0.4140954898421827,0.39512917389972424,0.12744879015651453,0.09657320872274136,0.6918825947105075
3,Algorytm genetyczny,pref_triadic,ciepły start,time_s,744,0.6146347043616085,0.4144237529999373,0.5241184294511704,0.13138250300016807,2.2143408640004054
4,Algorytm genetyczny,pref_triadic,ciepły start,total_cost,744,61.30568973998322,42.499999999999986,50.288132336608435,11.999999999999995,221.40243030736238
5,Algorytm genetyczny,pref_triadic,ciepły start,cost_per_node,744,0.4090763856055937,0.39024390243902424,0.11284310335860119,0.14465408805031435,0.6918825947105075
6,Algorytm genetyczny,rand_rewire,ciepły start,time_s,930,1.225577653374292,0.602206257499347,1.2734715848468139,0.1467617060043267,5.026243330998113
7,Algorytm genetyczny,rand_rewire,ciepły start,total_cost,930,104.87109917221977,62.99999999999997,106.83457632256423,11.999999999999995,448.0807719799857
8,Algorytm genetyczny,rand_rewire,ciepły start,cost_per_node,930,0.4249534580747602,0.4069523402341235,0.12444599171331525,0.09687499999999996,0.693796367414169
9,Algorytm losowy,pref_pref,zimny start,time_s,930,0.0009433554591900032,0.0006283715010795277,0.0007266328787740537,0.0002975449988298351,0.004257548000168754
10,Algorytm losowy,pref_pref,zimny start,total_cost,930,180.01535121092635,115.80700500357398,166.9151229127234,24.99999999999999,618.0786275911364
11,Algorytm losowy,pref_pref,zimny start,cost_per_node,930,0.7539436288069911,0.7561378018462773,0.16141655661587415,0.21240310077519373,0.9963562823619658
12,Algorytm losowy,pref_triadic,zimny start,time_s,744,0.000688431041660721,0.0005478175001485397,0.0004551631104702695,0.0002810429996316088,0.0026746300000013434
13,Algorytm losowy,pref_triadic,zimny start,total_cost,744,112.20412141545036,78.69085060757683,81.66900088002258,24.99999999999999,313.37955682630445
14,Algorytm losowy,pref_triadic,zimny start,cost_per_node,744,0.771117591020523,0.7711958883770593,0.14188469318414257,0.3081761006289307,1.014176792947343
15,Algorytm losowy,rand_rewire,zimny start,time_s,930,0.0009618774170894051,0.0006155370028864127,0.0007750061143568896,0.0002784280004561879,0.004907279995677527
16,Algorytm losowy,rand_rewire,zimny start,total_cost,930,181.4995080971815,118.18977841315224,168.27434435947714,24.99999999999999,640.759113652609
17,Algorytm losowy,rand_rewire,zimny start,cost_per_node,930,0.7625811732158051,0.7696494096227495,0.16106846668878208,0.22291021671826608,0.9944177814084891
18,Algorytm mrówkowy,pref_pref,ciepły start,time_s,899,6.906497809820941,1.96598628799984,10.134119321144285,0.1815183660000912,37.66614415400181
19,Algorytm mrówkowy,pref_pref,ciepły start,total_cost,899,92.99353900489861,55.99999999999998,88.08590588529358,12.999999999999995,334.99999999999983
20,Algorytm mrówkowy,pref_pref,ciepły start,cost_per_node,899,0.417230639411216,0.41893869770924813,0.12846772799760872,0.09147286821705417,0.6709845011244966
21,Algorytm mrówkowy,pref_triadic,ciepły start,time_s,744,3.001946694600788,1.3189407090001168,3.6926683603834958,0.19354987199949392,14.838438822000173
22,Algorytm mrówkowy,pref_triadic,ciepły start,total_cost,744,62.7992200650234,40.499999999999986,51.09046137480292,12.999999999999995,216.35882773409577
23,Algorytm mrówkowy,pref_triadic,ciepły start,cost_per_node,744,0.4235305872160717,0.4097635877478622,0.12531237039830173,0.13207547169811315,0.67112311262895
24,Algorytm mrówkowy,rand_rewire,ciepły start,time_s,899,7.817265000553957,2.3867469640026684,11.51283313501744,0.1937822609979776,42.42043217599712
25,Algorytm mrówkowy,rand_rewire,ciepły start,total_cost,899,95.01320584145196,60.99999999999997,89.32405864741118,12.999999999999995,349.99999999999983
26,Algorytm mrówkowy,rand_rewire,ciepły start,cost_per_node,899,0.4304610320664686,0.4246109184035924,0.13128262991419995,0.09218749999999996,0.7046529834235338
27,Algorytm zachłanny,pref_pref,zimny start,time_s,930,0.0008349636279206763,0.0005843049993927707,0.0006687762252284733,0.0002639039994392078,0.003815387999566156
28,Algorytm zachłanny,pref_pref,zimny start,total_cost,930,110.64604671539577,66.99999999999997,108.62452125115686,14.999999999999993,453.80486061472476
29,Algorytm zachłanny,pref_pref,zimny start,cost_per_node,930,0.46370617220895005,0.46146981650602253,0.13925783888465856,0.09968847352024916,0.7420805802053732
30,Algorytm zachłanny,pref_triadic,zimny start,time_s,744,0.0005347114018872637,0.0004601119998142167,0.0002559464297367922,0.0002572839994172682,0.001451576000363275
31,Algorytm zachłanny,pref_triadic,zimny start,total_cost,744,68.23461746869883,46.51036454610435,53.51005983167901,13.999999999999995,228.31736954967832
32,Algorytm zachłanny,pref_triadic,zimny start,cost_per_node,744,0.46786555982246314,0.4596579667317524,0.13382855593778772,0.15094339622641503,0.7422362652121851
33,Algorytm zachłanny,rand_rewire,zimny start,time_s,930,0.0008329738764078557,0.0005657159999827854,0.0006429535989863471,0.0002693229980650358,0.004345112000009976
34,Algorytm zachłanny,rand_rewire,zimny start,total_cost,930,112.9901434972753,68.99999999999997,110.98120026521076,13.999999999999995,474.14510364546095
35,Algorytm zachłanny,rand_rewire,zimny start,cost_per_node,930,0.47556058139190555,0.4658222718051835,0.1429672137285208,0.09999999999999996,0.7623215188549312
36,Przeszukiwanie tabu,pref_pref,ciepły start,time_s,930,2.4743527436549098,1.2802405894981348,3.0169807799428017,0.0032208420016104355,13.879585449998558
37,Przeszukiwanie tabu,pref_pref,ciepły start,total_cost,930,109.19658050681359,62.73338098641885,113.4886474528808,11.999999999999995,458.80486061472476
38,Przeszukiwanie tabu,pref_pref,ciepły start,cost_per_node,930,0.4216396845077648,0.41562499999999986,0.13975671782097726,0.09843749999999996,0.7326749071636534
39,Przeszukiwanie tabu,pref_triadic,ciepły start,time_s,744,1.4695222753158483,1.1939769589998832,1.1833240851325297,0.001916859000630211,5.685914212999705
40,Przeszukiwanie tabu,pref_triadic,ciepły start,total_cost,744,64.95320870514267,42.13795568263045,56.92080430777389,10.999999999999995,232.3173695496783
41,Przeszukiwanie tabu,pref_triadic,ciepły start,cost_per_node,744,0.41317708468887376,0.397154430035059,0.1262663079732437,0.15408805031446535,0.710450671405744
42,Przeszukiwanie tabu,rand_rewire,ciepły start,time_s,930,2.5813977638905214,1.3763642044978042,3.1706261938834044,0.007903403995442204,15.570922873004749
43,Przeszukiwanie tabu,rand_rewire,ciepły start,total_cost,930,114.56957811647335,63.55182273052179,118.72520227584242,10.999999999999995,501.80486061472476
44,Przeszukiwanie tabu,rand_rewire,ciepły start,cost_per_node,930,0.4445989014871907,0.43143297380585494,0.14603491495961346,0.09843749999999996,0.7626440488850921
45,Solver ILP,pref_pref,zimny start,time_s,472,2.3850950306101613,0.876931883000907,4.776165881419899,0.05211541300013778,39.58420412000123
46,Solver ILP,pref_pref,zimny start,total_cost,472,63.78427690481093,29.999999999999986,69.5855692617741,10.999999999999995,287.29235167977123
47,Solver ILP,pref_pref,zimny start,cost_per_node,472,0.37492305676293525,0.33749999999999986,0.07211357702597256,0.2749999999999999,0.5023274464338638
