,source,algorithm,metric,count,mean,median,std,min,max
0,benchmark_duolingo_super,Algorytm genetyczny,time_s,54,0.43662497709258924,0.39754851499992583,0.2889697408593559,0.09056367699986367,1.030749501000173
1,benchmark_duolingo_super,Algorytm genetyczny,total_cost,54,55.31052603711645,45.94603288062901,41.22468008029493,8.255182273052178,141.7862759113652
2,benchmark_duolingo_super,Algorytm genetyczny,cost_per_node,54,0.5261201122494902,0.455736240171551,0.1254431025462219,0.3994603288062901,0.7627591136526087
3,benchmark_duolingo_super,Algorytm losowy,time_s,54,0.0005152242962935816,0.00044385149999470736,0.0002458964779231312,0.0002222170001004997,0.0011792479999712668
4,benchmark_duolingo_super,Algorytm losowy,total_cost,54,84.11165382680747,76.20121515368118,58.388407762524665,12.425303788420297,187.82773409578266
5,benchmark_duolingo_super,Algorytm losowy,cost_per_node,54,0.8148878828793051,0.7833398856325946,0.10966713182702859,0.6212651894210149,1.0085060757684057
6,benchmark_duolingo_super,Algorytm mrówkowy,time_s,54,1.9671022060185048,1.202380787500033,1.9220646526265737,0.09458231899998282,6.251529491999918
7,benchmark_duolingo_super,Algorytm mrówkowy,total_cost,54,53.81943451671827,44.0736240171551,39.369006690756805,8.255182273052178,138.23230879199423
8,benchmark_duolingo_super,Algorytm mrówkowy,cost_per_node,54,0.5166350964974981,0.44366154395997137,0.12092249956863177,0.40488563259471044,0.7627591136526087
9,benchmark_duolingo_super,Algorytm zachłanny,time_s,54,0.00045798424074055893,0.0004066685000339021,0.0002380039384760887,0.0002023160000135249,0.0012028610000243134
10,benchmark_duolingo_super,Algorytm zachłanny,total_cost,54,58.489370714531525,49.531093638313074,42.31210150520024,8.340243030736238,143.70121515368118
11,benchmark_duolingo_super,Algorytm zachłanny,cost_per_node,54,0.5620771450506974,0.4953109363831307,0.11611473178365624,0.4170121515368119,0.7627591136526087
12,benchmark_duolingo_super,Przeszukiwanie tabu,time_s,54,1.170312635055586,1.0844625770000675,0.8204574339387198,0.01440230700018219,2.988045058999888
13,benchmark_duolingo_super,Przeszukiwanie tabu,total_cost,54,54.75961665740078,45.65868477483916,42.313435958579355,8.255182273052178,143.70121515368118
14,benchmark_duolingo_super,Przeszukiwanie tabu,cost_per_node,54,0.5127838667831518,0.45658684774839164,0.13547249873855124,0.3648856325947104,0.7627591136526087
15,benchmark_duolingo_super,Solver ILP,time_s,30,2.0070177272000005,0.5398728240000139,3.803999298994445,0.02088009100000221,15.17380210600001
16,benchmark_duolingo_super,Solver ILP,total_cost,30,32.12709077912794,15.170121515368116,30.427267520772716,8.255182273052178,88.23230879199426
17,benchmark_duolingo_super,Solver ILP,cost_per_node,30,0.4838510841076958,0.4236097212294495,0.12623791178844154,0.40988563259471045,0.7627591136526087
18,benchmark_duolingo_super,Wyżarzanie symulowane,time_s,54,0.3313485722592641,0.2862778515000173,0.23699649966050135,0.06687465400000292,0.7709015350001209
19,benchmark_duolingo_super,Wyżarzanie symulowane,total_cost,54,57.23833161252745,48.786275911365244,42.522821257562526,8.340243030736238,143.70121515368118
20,benchmark_duolingo_super,Wyżarzanie symulowane,cost_per_node,54,0.5395744314722154,0.48786275911365246,0.11556354532123969,0.4170121515368119,0.7627591136526087
21,benchmark_duolingo_super,Zbiór dominujący,time_s,54,0.002317079462959218,0.0014986575000079938,0.0021688163221818997,0.0002836680000655178,0.007118606000062755
22,benchmark_duolingo_super,Zbiór dominujący,total_cost,54,58.197071982633084,51.446032880629005,42.131891696186024,9.25518227305218,144.7862759113652
23,benchmark_duolingo_super,Zbiór dominujący,cost_per_node,54,0.5645283668228629,0.5144603288062901,0.11941380613513995,0.41988563259471046,0.7627591136526087
24,duolingo_p_2,Algorytm genetyczny,time_s,24,0.47341663045790483,0.3638846644971636,0.33159894281257324,0.09993353000027128,1.225781156004814
25,duolingo_p_2,Algorytm genetyczny,total_cost,24,47.16666666666668,36.50000000000001,37.36036805826832,8.000000000000002,136.00000000000003
26,duolingo_p_2,Algorytm genetyczny,cost_per_node,24,0.5177083333333335,0.4600000000000001,0.1132425174288491,0.40000000000000013,0.7500000000000002
27,duolingo_p_2,Algorytm losowy,time_s,24,0.0006117627487280212,0.0004729174979729578,0.0003405424857315132,0.0002447789956931956,0.0013422330011962913
28,duolingo_p_2,Algorytm losowy,total_cost,24,71.37500000000001,56.500000000000014,51.95299924388181,15.000000000000004,177.00000000000003
29,duolingo_p_2,Algorytm losowy,cost_per_node,24,0.8052083333333334,0.8000000000000003,0.10346685214479868,0.6300000000000001,1.0000000000000002
30,duolingo_p_2,Algorytm mrówkowy,time_s,24,2.0912559568320526,1.1462196314969333,2.3500254348451617,0.10328436499548845,7.721553998999298
31,duolingo_p_2,Algorytm mrówkowy,total_cost,24,45.33333333333334,36.50000000000001,34.89819562629299,8.000000000000002,126.00000000000003
