,license_family,algorithm,metric,count,mean,median,std,min,max
0,duolingo,Algorytm genetyczny,time_s,72,0.5591670030000588,0.42722889600190683,0.3868281773006363,0.09993353000027128,1.4960677830022178
1,duolingo,Algorytm genetyczny,total_cost,72,67.65277777777776,44.99999999999998,54.11988770956937,8.000000000000002,189.9999999999998
2,duolingo,Algorytm genetyczny,cost_per_node,72,0.7379166666666664,0.7600000000000002,0.18221398579614626,0.40000000000000013,0.9999999999999989
3,duolingo,Algorytm losowy,time_s,72,0.0007491165968329167,0.0005800419967272319,0.0007340675258594009,0.0002447789956931956,0.006304555005044676
4,duolingo,Algorytm losowy,total_cost,72,104.56944444444441,78.49999999999991,79.30682552173484,15.000000000000004,299.99999999999966
5,duolingo,Algorytm losowy,cost_per_node,72,1.1718749999999996,1.2174999999999996,0.30269614464990324,0.6300000000000001,1.819999999999998
6,duolingo,Algorytm mrówkowy,time_s,72,2.591929110874945,1.38336474800235,3.0778676899039943,0.10328436499548845,13.390821086999496
7,duolingo,Algorytm mrówkowy,total_cost,72,67.58333333333331,44.999999999999986,54.189222461536694,8.000000000000002,187.9999999999998
8,duolingo,Algorytm mrówkowy,cost_per_node,72,0.7380555555555554,0.7975000000000003,0.1879907765859193,0.3850000000000001,0.9999999999999989
9,duolingo,Algorytm zachłanny,time_s,72,0.0006288195558631236,0.0004896924983768258,0.00032223328686535314,0.0002480270050000399,0.0016795670017017983
10,duolingo,Algorytm zachłanny,total_cost,72,70.73611111111109,47.49999999999998,55.39893553041403,8.000000000000002,190.9999999999998
11,duolingo,Algorytm zachłanny,cost_per_node,72,0.7756249999999998,0.8425000000000002,0.1759700228552064,0.40000000000000013,0.9999999999999989
12,duolingo,Przeszukiwanie tabu,time_s,72,1.2574807293055226,0.8843238454974198,1.1577552724677904,0.0009789679970708676,5.080628087998775
13,duolingo,Przeszukiwanie tabu,total_cost,72,68.16666666666664,45.49999999999998,55.81357298702047,8.000000000000002,190.9999999999998
14,duolingo,Przeszukiwanie tabu,cost_per_node,72,0.7305555555555553,0.7825000000000002,0.19728358718230432,0.36000000000000004,0.9999999999999989
15,duolingo,Solver ILP,time_s,50,1.4452777618590336,0.3184243305004202,4.151052436460215,0.011970988001849037,26.58864093099692
16,duolingo,Solver ILP,total_cost,50,45.41999999999999,34.000000000000014,42.1460483053287,8.000000000000002,175.9999999999998
17,duolingo,Solver ILP,cost_per_node,50,0.6906999999999996,0.7300000000000002,0.19964000764641612,0.3400000000000001,0.9999999999999989
18,duolingo,Wyżarzanie symulowane,time_s,72,0.36350312480559904,0.23873630199886975,0.27589813692491577,0.0755592310015345,1.0945751760009443
19,duolingo,Wyżarzanie symulowane,total_cost,72,70.16666666666664,46.99999999999998,55.824927543269276,8.000000000000002,190.9999999999998
20,duolingo,Wyżarzanie symulowane,cost_per_node,72,0.7604861111111109,0.8300000000000003,0.18391700463283467,0.36000000000000004,0.9999999999999989
21,duolingo,Zbiór dominujący,time_s,72,0.0028989219997836496,0.0017123705001722556,0.0029405063418656003,0.0003247619970352389,0.011923310994461644
22,duolingo,Zbiór dominujący,total_cost,72,68.45833333333331,46.99999999999995,54.027623998558134,8.000000000000002,189.9999999999998
23,duolingo,Zbiór dominujący,cost_per_node,72,0.7551388888888888,0.8000000000000003,0.18034976234032782,0.3900000000000001,0.9999999999999989
24,netflix,Algorytm genetyczny,time_s,24,0.35180950937562255,0.23661303050175775,0.2830649957670421,0.08845648600254208,0.9137989560040296
25,netflix,Algorytm genetyczny,total_cost,24,61.25834813150601,49.094543459942955,46.90497281601016,11.038034938980463,156.74009613352257
26,netflix,Algorytm genetyczny,cost_per_node,24,0.6684875587672098,0.6497613402886411,0.08350212338060625,0.5519017469490232,0.7837004806676129
27,netflix,Algorytm losowy,time_s,24,0.0005504716661259105,0.0004979910008842126,0.00029955702098048644,0.0002315530000487342,0.0014420570005313491
28,netflix,Algorytm losowy,total_cost,24,105.23613086786933,86.70623564754356,78.23386283703636,17.364311680127475,257.63103041160673
29,netflix,Algorytm losowy,cost_per_node,24,1.1622062310005623,1.1453196850118237,0.13573966269097348,0.8682155840063738,1.4118799914486952
30,netflix,Algorytm mrówkowy,time_s,24,2.5482804179585705,1.2889830455023912,2.9203140525138287,0.13417525900149485,8.899317556002643
31,netflix,Algorytm mrówkowy,total_cost,24,61.88987749368647,49.95122676863995,47.18850012910955,11.038034938980463,157.3331845780051
32,netflix,Algorytm mrówkowy,cost_per_node,24,0.6757364175331074,0.6560217183137345,0.08981099862034853,0.5519017469490232,0.8079182588173163
