algorytm,metoda mutacji,koszt per node,sredni czas
Algorytm genetyczny,high,0.4292577059517862,3.269368189809264
Algorytm genetyczny,low,0.4298643416344388,2.952156944414066
Algorytm genetyczny,med,0.4254941865710054,3.1130221922258805
Algorytm genetyczny,pref_pref,0.41409548984218264,1.1339646529978606
Algorytm genetyczny,pref_triadic,0.4090763856055937,0.6146347043616085
Algorytm genetyczny,rand_rewire,0.42495345807476026,1.225577653374292
Algorytm losowy,high,0.7733601178260657,0.0019275749832282
Algorytm losowy,low,0.7701933801405771,0.0019264473529602912
Algorytm losowy,med,0.7720480217978188,0.00202162538177184
Algorytm losowy,pref_pref,0.753943628806991,0.0009433554591900032
Algorytm losowy,pref_triadic,0.771117591020523,0.000688431041660721
Algorytm losowy,rand_rewire,0.7625811732158052,0.0009618774170894051
Algorytm mrówkowy,high,0.42755860570710535,8.243965828041336
Algorytm mrówkowy,low,0.42321107809654585,7.2657846857678
Algorytm mrówkowy,med,0.42301040445536503,7.890507391470288
Algorytm mrówkowy,pref_pref,0.417230639411216,6.906497809820941
Algorytm mrówkowy,pref_triadic,0.4235305872160717,3.001946694600788
Algorytm mrówkowy,rand_rewire,0.4304610320664686,7.817265000553957
Algorytm zachłanny,high,0.48009009924452906,0.0015941233162993088
Algorytm zachłanny,low,0.47982614629948317,0.001650273151361321
Algorytm zachłanny,med,0.4749147476176905,0.0018135052222627512
Algorytm zachłanny,pref_pref,0.4637061722089501,0.0008349636279206763
Algorytm zachłanny,pref_triadic,0.46786555982246314,0.0005347114018872637
Algorytm zachłanny,rand_rewire,0.4755605813919055,0.0008329738764078557
Przeszukiwanie tabu,high,0.4466767730949038,6.45424934485484
Przeszukiwanie tabu,low,0.43745386906670497,6.355552950850259
Przeszukiwanie tabu,med,0.4391908779068384,6.941770264064418
Przeszukiwanie tabu,pref_pref,0.4216396845077648,2.4743527436549098
Przeszukiwanie tabu,pref_triadic,0.4131770846888738,1.4695222753158483
Przeszukiwanie tabu,rand_rewire,0.4445989014871907,2.5813977638905214
Solver ILP,high,0.4014296837830453,4.338556681809919
Solver ILP,low,0.4107469552991012,3.803391212173979
Solver ILP,med,0.3985904038402476,3.8253146307833723
Solver ILP,pref_pref,0.3749230567629352,2.3850950306101613
Solver ILP,pref_triadic,0.36152811410634705,1.5249336863548284
Solver ILP,rand_rewire,0.3897908961871963,2.5530087903084016
Wyżarzanie symulowane,high,0.4879011373553394,2.9956247384843695
Wyżarzanie symulowane,low,0.467212696008049,2.6059064398799374
Wyżarzanie symulowane,med,0.47975776698030626,2.7868065058423763
Wyżarzanie symulowane,pref_pref,0.4622500931324406,1.0242723270408043
Wyżarzanie symulowane,pref_triadic,0.45954069565220057,0.5547160992338718
Wyżarzanie symulowane,rand_rewire,0.4980778273385874,1.0718379862558802
Zbiór dominujący,high,0.4684789493761992,0.04455103993718189
Zbiór dominujący,low,0.46298013396328397,0.03375954626075307
Zbiór dominujący,med,0.46716416923610243,0.0395041748305757
Zbiór dominujący,pref_pref,0.4512176350816935,0.01587493860536802
Zbiór dominujący,pref_triadic,0.45741422438600265,0.004770998654565624
Zbiór dominujący,rand_rewire,0.4579887359340133,0.01705506512899451
