,algorithm,variant,warm_label,metric,count,mean,std,min,max
0,Algorytm genetyczny,high,ciepły start,time_s,1116,3.269368189809264,3.84648826383724,0.11290976498275997,16.90988651898806
1,Algorytm genetyczny,high,ciepły start,total_cost,1116,87.45705393765641,101.25040996497506,4.999999999999998,431.230164403145
2,Algorytm genetyczny,high,ciepły start,cost_per_node,1116,0.4292577059517862,0.12088837321201092,0.09687499999999996,0.693796367414169
3,Algorytm genetyczny,low,ciepły start,time_s,1116,2.952156944414066,3.5356591340572407,0.16025614300451707,14.650486313003055
4,Algorytm genetyczny,low,ciepły start,total_cost,1116,85.24511107524317,99.48359912899565,4.999999999999998,428.8899213724088
5,Algorytm genetyczny,low,ciepły start,cost_per_node,1116,0.4298643416344388,0.13654387033172838,0.09636650868878346,0.7223867388270532
6,Algorytm genetyczny,med,ciepły start,time_s,1116,3.1130221922258805,3.615147089900735,0.17652097799873445,15.153886326996144
7,Algorytm genetyczny,med,ciepły start,total_cost,1116,86.73461971044344,99.08236303912908,4.999999999999998,431.230164403145
8,Algorytm genetyczny,med,ciepły start,cost_per_node,1116,0.4254941865710054,0.12163823255067227,0.09597523219814236,0.693796367414169
9,Algorytm losowy,high,zimny start,time_s,1116,0.0019275749832282,0.0029789589029047166,0.0002820989902829751,0.01786875000107102
10,Algorytm losowy,high,zimny start,total_cost,1116,153.15193584255007,163.34236270560436,11.999999999999995,616.1636883488205
11,Algorytm losowy,high,zimny start,cost_per_node,1116,0.7733601178260657,0.1553849843461045,0.21263482280431423,1.025888056686453
12,Algorytm losowy,low,zimny start,time_s,1116,0.0019264473529602912,0.0027020017722665045,0.0002976289979415014,0.019773459000134608
13,Algorytm losowy,low,zimny start,total_cost,1116,149.46063944804402,160.5100907636638,9.999999999999996,603.568263045032
14,Algorytm losowy,low,zimny start,cost_per_node,1116,0.7701933801405771,0.16168142023723758,0.20695102685624,1.0283535858946866
15,Algorytm losowy,med,zimny start,time_s,1116,0.00202162538177184,0.0030841511258560797,0.0002928390022134408,0.02249059900350403
16,Algorytm losowy,med,zimny start,total_cost,1116,152.2377344544618,160.2392353364353,11.999999999999995,610.398141529664
17,Algorytm losowy,med,zimny start,cost_per_node,1116,0.7720480217978187,0.15771271324402153,0.2105263157894735,1.025888056686453
18,Algorytm mrówkowy,high,ciepły start,time_s,930,8.243965828041336,10.888368651213641,0.11667570300051013,38.13841766498808
19,Algorytm mrówkowy,high,ciepły start,total_cost,930,48.65737047199611,41.86150894514785,4.999999999999998,156.93352394567546
20,Algorytm mrówkowy,high,ciepły start,cost_per_node,930,0.4275586057071054,0.12616870439949587,0.09218749999999996,0.6788182034786752
21,Algorytm mrówkowy,low,ciepły start,time_s,930,7.2657846857678,9.48847966290178,0.15060463999543572,32.39415192200249
22,Algorytm mrówkowy,low,ciepły start,total_cost,930,46.78523830385758,40.12909960596573,4.999999999999998,152.99999999999994
23,Algorytm mrówkowy,low,ciepły start,cost_per_node,930,0.42321107809654585,0.14183075400396847,0.08372827804107416,0.7264372510977228
24,Algorytm mrówkowy,med,ciepły start,time_s,930,7.890507391470288,10.30913443939783,0.13157836900791153,36.82063895399915
25,Algorytm mrówkowy,med,ciepły start,total_cost,930,48.52860799188358,41.69441471568167,4.999999999999998,156.44388849177983
26,Algorytm mrówkowy,med,ciepły start,cost_per_node,930,0.42301040445536503,0.1294958983452464,0.08668730650154786,0.6788182034786752
27,Algorytm zachłanny,high,zimny start,time_s,1116,0.0015941233162993088,0.0026652853749568393,0.0002720369957387447,0.02071240199438762
28,Algorytm zachłanny,high,zimny start,total_cost,1116,94.02049915326101,104.80710740246113,4.999999999999998,443.4002859185132
29,Algorytm zachłanny,high,zimny start,cost_per_node,1116,0.48009009924452906,0.13481060972970021,0.09999999999999996,0.7106325947105074
30,Algorytm zachłanny,low,zimny start,time_s,1116,0.001650273151361321,0.002558675835617661,0.000277279999863822,0.02217864499834832
31,Algorytm zachłanny,low,zimny start,total_cost,1116,92.56083454387542,104.28404215513407,4.999999999999998,435.7197998570407
32,Algorytm zachłanny,low,zimny start,cost_per_node,1116,0.47982614629948317,0.14644772938955208,0.09794628751974715,0.7700057864461008
33,Algorytm zachłanny,med,zimny start,time_s,1116,0.0018135052222627512,0.0029567182618190596,0.0002804329997161403,0.02672706500743516
34,Algorytm zachłanny,med,zimny start,total_cost,1116,93.48638364320647,103.58037094228297,4.999999999999998,438.8899213724088
35,Algorytm zachłanny,med,zimny start,cost_per_node,1116,0.4749147476176905,0.1359677714248437,0.09999999999999996,0.7142050318128469
36,Przeszukiwanie tabu,high,ciepły start,time_s,1090,6.45424934485484,7.988737153147284,0.03519884799607098,44.91314675199101
37,Przeszukiwanie tabu,high,ciepły start,total_cost,1090,92.08916591798858,111.85086632075753,4.999999999999998,485.8048606147247
38,Przeszukiwanie tabu,high,ciepły start,cost_per_node,1090,0.44667677309490383,0.13749364900099167,0.09843749999999996,0.7512735136308937
39,Przeszukiwanie tabu,low,ciepły start,time_s,1116,6.355552950850259,8.570156785741945,0.0010717740005929954,42.214887396999984
40,Przeszukiwanie tabu,low,ciepły start,total_cost,1116,90.85695811908657,108.32453327689605,4.999999999999998,443.80486061472476
41,Przeszukiwanie tabu,low,ciepły start,cost_per_node,1116,0.43745386906670497,0.1471932491302158,0.09794628751974715,0.7619047619047615
42,Przeszukiwanie tabu,med,ciepły start,time_s,1116,6.941770264064418,9.101652232186169,0.010328215998015366,44.94692161600688
43,Przeszukiwanie tabu,med,ciepły start,total_cost,1116,94.18925384491224,110.2140127446437,4.999999999999998,442.80486061472476
44,Przeszukiwanie tabu,med,ciepły start,cost_per_node,1116,0.4391908779068384,0.1382525681903279,0.09843749999999996,0.7375154588878674
45,Solver ILP,high,zimny start,time_s,610,4.338556681809919,6.900525734234747,0.02614526799879968,40.50563169000088
46,Solver ILP,high,zimny start,total_cost,610,43.1764222688337,52.30951139346085,4.999999999999998,239.9999999999999
47,Solver ILP,high,zimny start,cost_per_node,610,0.40142968378304533,0.0858987678161786,0.2499999999999999,0.6585060757684059
48,Solver ILP,low,zimny start,time_s,626,3.803391212173979,6.922990697871563,0.05052633200102719,39.60053179599345
49,Solver ILP,low,zimny start,total_cost,626,46.96388794369323,58.307305231109545,4.999999999999998,282.952108649035
50,Solver ILP,low,zimny start,cost_per_node,626,0.4107469552991012,0.11597350048538099,0.2499999999999999,0.7223867388270532
51,Solver ILP,med,zimny start,time_s,623,3.8253146307833723,6.025480930037085,0.05281926599855069,44.157940325996606
52,Solver ILP,med,zimny start,total_cost,623,49.086144999237,61.95644241206599,4.999999999999998,287.29235167977123
53,Solver ILP,med,zimny start,cost_per_node,623,0.3985904038402475,0.08996079712266318,0.2499999999999999,0.6585060757684059
54,Wyżarzanie symulowane,high,ciepły start,time_s,1116,2.9956247384843695,3.596032369445235,0.07902584300609306,13.902721354999812
55,Wyżarzanie symulowane,high,ciepły start,total_cost,1116,100.47223631318835,113.08220042483697,4.999999999999998,485.8048606147247
56,Wyżarzanie symulowane,high,ciepły start,cost_per_node,1116,0.4879011373553394,0.13777056104504637,0.09999999999999996,0.8259146143349145
57,Wyżarzanie symulowane,low,ciepły start,time_s,1116,2.6059064398799374,3.182924902950748,0.07780728799843928,13.838922734001244
58,Wyżarzanie symulowane,low,ciepły start,total_cost,1116,94.45867311776715,108.56435032612588,4.999999999999998,443.80486061472476
59,Wyżarzanie symulowane,low,ciepły start,cost_per_node,1116,0.467212696008049,0.1453954279618056,0.09999999999999996,0.7821573232581095
60,Wyżarzanie symulowane,med,ciepły start,time_s,1116,2.7868065058423763,3.338662780730059,0.07279065799957607,13.82505358599883
61,Wyżarzanie symulowane,med,ciepły start,total_cost,1116,98.34135237407158,109.86514051562594,4.999999999999998,442.80486061472476
62,Wyżarzanie symulowane,med,ciepły start,cost_per_node,1116,0.47975776698030614,0.14003158074074015,0.09999999999999996,0.8259146143349145
63,Zbiór dominujący,high,zimny start,time_s,1116,0.04455103993718189,0.07935790121482222,0.0003736429935088381,0.3935885090031661
64,Zbiór dominujący,high,zimny start,total_cost,1116,92.0814874167672,103.90618258648053,4.999999999999998,443.4002859185132
65,Zbiór dominujący,high,zimny start,cost_per_node,1116,0.4684789493761992,0.14041322813305357,0.09553158705701066,0.7700057864461008
66,Zbiór dominujący,low,zimny start,time_s,1116,0.03375954626075307,0.058001420060314286,0.0003966529984609224,0.2711027320001449
67,Zbiór dominujący,low,zimny start,total_cost,1116,88.97201470072066,101.6036970507775,4.999999999999998,435.145103645461
68,Zbiór dominujący,low,zimny start,cost_per_node,1116,0.46298013396328397,0.15308417748710135,0.09478672985781986,0.7700057864461008
69,Zbiór dominujący,med,zimny start,time_s,1116,0.0395041748305757,0.06720967059263835,0.0004002239875262603,0.35075678800058085
70,Zbiór dominujący,med,zimny start,total_cost,1116,90.98545299894188,101.09125904541652,4.999999999999998,438.06004288777694
71,Zbiór dominujący,med,zimny start,cost_per_node,1116,0.46716416923610243,0.14329254136403097,0.09752321981424136,0.7287505450883605
